tag,category
monthly salary,Income
rental income,Income
interest income,Income
dividend income,Income
bonus,Income
refund,Income
award,Income
gift,Income
investment,Investment
savings,Investment
monthly salary,Income
rental income,Income
interest income,Income
dividend income,Income
gift,Income
bonus,Income
refund,Income
award,Income
gift,Income
investment,Investment
savings,Investment
stocks,Investment
bonds,Investment
mutual funds,Investment
crypto,Investment
cashback,Income
groceries,Food
streaming,Entertainment
netflix subscription,Streaming
amazon order,Shopping
movie tickets,Entertainment
fitness,Health
yoga classes,Health
food,Food
groceries purchase,Food
cinema,Entertainment
fuel,Bills
supermarket,Shopping
friends,Transfer
snacks and beverages,Food
petrol,Bills
car emi,Loans
electricity bill,Bills
home rent,Housing
stock dividends,Investment
interest from fd,Investment
freelance project,Income
salary,Income
gift from friend,Income
charity donation,Charity
book purchase,Education
mobile recharge,Bills
app development payment,Income
dinner at restaurant,Food
tea break,Food
study,Education
diwali shopping,Shopping
wedding expenses,Expenses
hdfc bank,Banking
icici bank,Banking
savings deposit,Investment
mutual fund investment,Investment
gold purchase,Shopping
insurance premium,Bills
school fees,Education
medicine purchase,Health
mobile data recharge,Bills
pension contribution,Investment
tax payment,Bills
travel,Travel
hotel stay,Travel
train tickets,Travel
flight tickets,Travel
local transport,Transport
auto rickshaw,Transport
ola,Transport
uber,Transport
metro,Transport
bus,Transport
car,Transport
bike,Transport
petrol,Transport
diesel,Transport
fuel,Transport
electricity bill,Bills
water bill,Bills
gas bill,Bills
telephone bill,Bills
mobile bill,Bills
internet bill,Bills
dth recharge,Bills
credit card bill,Bills
emi payment,Loans
personal loan,Loans
home loan,Loans
car loan,Loans
education loan,Loans
medical loan,Loans
vehicle loan,Loans
loan repayment,Loans
loan interest,Loans
loan principal,Loans
loan processing fee,Loans
loan insurance,Loans
loan foreclosure,Loans
loan prepayment,Loans
loan top-up,Loans
loan disbursement,Loans
loan sanction,Loans
gift,Gift
pukka meal,Food
temple donation,Charity
pooja expenses,Charity
aadhar card,Documents
passport fees,Documents
domestic help,Housing
rent,Housing
landline bill,Bills
internet bill,Bills
grocery shopping,Food
fruits purchase,Food
construction materials,Housing
repair costs,Housing
furniture purchase,Shopping
mobile phone purchase,Shopping
freelance,Income
Utilities,Bills
Health,Health
Vehicle,Transport
Passive Income,Income
Learning,Education
Monthly Rent,Housing
Birthday,Gift
Online Purchase,Shopping
Cinema,Entertainment
